RSV_TP_LEVEL,nitrogen_dioxide (μg/m³),carbon_monoxide (μg/m³),uv_index (),ozone (μg/m³),MMWR_WEEK
Very Low,5.984523809523809,144.75,10.55,63.00595238095238,27
Very Low,9.210714285714285,145.70833333333334,10.9,53.00595238095238,28
Very Low,11.017857142857142,177.20238095238096,10.25,56.023809523809526,29
Very Low,9.026190476190477,145.82142857142858,10.8,51.404761904761905,30
Low,7.4,144.98809523809524,10.1,48.05357142857143,31
Low,7.789880952380953,141.26190476190476,9.65,46.13690476190476,32
Low,9.307738095238095,167.49404761904762,9.05,65.48809523809524,33
Low,10.219047619047618,214.14880952380952,9.25,69.06547619047619,34
Low,11.185119047619047,200.51785714285714,9.35,48.05357142857143,35
Low,12.757738095238096,202.625,8.1,54.63095238095238,36
Low,9.869642857142857,182.1845238095238,7.9,54.0,37
Moderate,9.863690476190476,215.61904761904762,6.7,60.458333333333336,38
Moderate,10.598809523809523,190.03571428571428,7.0,52.88690476190476,39
Moderate,22.541666666666668,272.20238095238096,6.05,57.107142857142854,40
High,13.207142857142859,202.49404761904762,6.25,53.339285714285715,41
Very High,18.004166666666666,241.7202380952381,5.9,49.666666666666664,42
Very High,14.336904761904762,205.375,5.0,51.30952380952381,43
Very High,33.65059523809524,366.875,4.6,37.18452380952381,44
Very High,23.41190476190476,255.51190476190476,3.35,39.07142857142857,45
Very High,14.008333333333335,208.73214285714286,3.1,53.339285714285715,46
Very High,29.05952380952381,304.98809523809524,3.05,34.517857142857146,47
Very High,23.127380952380953,264.0833333333333,2.55,42.023809523809526,48
Very High,25.958928571428572,256.4345238095238,2.4,35.36904761904762,49
Very High,31.9125,340.75,2.15,24.0,50
High,17.521428571428572,206.80357142857142,1.95,42.86309523809524,51
High,21.19404761904762,248.25595238095238,1.85,41.43452380952381,52
High,21.95595238095238,255.73809523809524,2.1,41.18452380952381,1
Moderate,22.15714285714286,230.94642857142858,2.05,43.68452380952381,2
Moderate,20.314880952380953,233.5595238095238,2.6,37.48809523809524,3
Moderate,17.573809523809523,212.3452380952381,2.7,44.50595238095238,4
Moderate,16.379166666666666,216.75,3.15,51.726190476190474,5
Low,16.26904761904762,219.6845238095238,2.85,55.82738095238095,6
Low,23.84940476190476,260.8690476190476,3.55,42.785714285714285,7
Low,16.553571428571427,225.63690476190476,3.75,54.38095238095238,8
Low,15.273214285714285,216.60119047619048,4.7,62.339285714285715,9
Low,16.152380952380952,211.66666666666666,5.25,61.68452380952381,10
Low,15.90892857142857,221.5297619047619,5.3,63.31547619047619,11
Very Low,21.14464285714286,249.35119047619048,5.8,56.166666666666664,12
Very Low,10.466666666666667,189.47619047619048,5.2,68.20238095238095,13
Very Low,13.38452380952381,219.0297619047619,7.35,68.48809523809524,14
Very Low,16.054166666666667,217.02380952380952,6.95,64.55357142857143,15
Very Low,16.97083333333333,229.72619047619048,8.15,66.97619047619048,16
Very Low,8.075595238095238,171.47619047619048,8.5,68.9702380952381,17
Very Low,7.854761904761904,159.71428571428572,8.65,62.267857142857146,18
Very Low,10.676190476190476,191.5297619047619,8.85,73.72619047619048,19
Very Low,6.6380952380952385,156.98809523809524,8.9,65.67261904761905,20
Very Low,7.1726190476190474,153.0654761904762,8.75,66.85119047619048,21
Very Low,8.400595238095239,161.36904761904762,9.1,68.27380952380952,22
Very Low,7.7285714285714295,141.66666666666666,10.55,54.19642857142857,23
Very Low,6.6726190476190474,144.0595238095238,10.6,66.80952380952381,24
Very Low,7.6535714285714285,151.97619047619048,9.3,65.26190476190476,25
Very Low,9.386309523809524,156.9047619047619,10.85,53.107142857142854,26
Very Low,11.776190476190477,182.5297619047619,10.3,69.69642857142857,27
Very Low,9.508333333333335,166.14880952380952,10.2,64.5297619047619,28
Very Low,7.204761904761905,138.92857142857142,10.55,57.56547619047619,29
Very Low,9.10654761904762,147.47619047619048,10.0,52.04761904761905,30
Very Low,9.04404761904762,167.2202380952381,9.75,46.595238095238095,31
Very Low,9.807738095238095,184.99404761904762,9.9,58.208333333333336,32
Very Low,7.113095238095238,124.79761904761905,9.8,43.625,33
Very Low,7.595833333333333,161.0952380952381,9.0,54.398809523809526,34
Very Low,10.835714285714285,206.61309523809524,8.5,70.76785714285714,35
Very Low,13.286904761904761,203.54761904761904,8.1,60.69642857142857,36
Very Low,11.485714285714286,202.14880952380952,8.0,52.529761904761905,37
Very Low,8.104761904761904,179.48809523809524,6.9,54.910714285714285,38
Very Low,14.327380952380953,237.83928571428572,6.65,63.214285714285715,39
Very Low,25.87440476190476,306.01785714285717,6.85,68.01785714285714,40
Low,20.263690476190476,231.02380952380952,5.8,46.57142857142857,41
Low,13.599404761904761,186.20238095238096,5.25,46.57142857142857,42
Low,26.738690476190477,305.61309523809524,4.9,45.81547619047619,43
Low,11.51845238095238,259.67857142857144,4.05,57.81547619047619,44
Low,24.364285714285714,320.1309523809524,4.05,48.232142857142854,45
Moderate,21.755357142857143,298.1190476190476,3.3,51.660714285714285,46
Moderate,13.954761904761906,247.28571428571428,2.65,61.035714285714285,47
High,28.491666666666667,383.375,2.5,38.94047619047619,48
High,40.81488095238095,474.70238095238096,2.4,24.458333333333332,49
High,24.136309523809523,326.67261904761904,2.25,49.36309523809524,50
Very High,27.520833333333332,392.7440476190476,2.3,35.17857142857143,51
Very High,17.998214285714283,298.3690476190476,2.3,47.57738095238095,52
Very High,31.11904761904762,351.30357142857144,2.35,34.49404761904762,1
High,32.739285714285714,311.10714285714283,2.6,34.267857142857146,2
High,37.311904761904756,400.8690476190476,2.4,32.25,3
Moderate,37.926785714285714,399.1666666666667,2.8,32.601190476190474,4
Moderate,28.245238095238093,321.30357142857144,2.55,42.36309523809524,5
Moderate,12.172619047619047,221.20833333333334,3.5,63.785714285714285,6
Moderate,19.357738095238094,286.0595238095238,3.6,61.05357142857143,7
Moderate,28.79642857142857,323.1309523809524,4.5,44.607142857142854,8
Moderate,32.082142857142856,398.95238095238096,4.7,47.26190476190476,9
Low,18.092261904761905,271.01785714285717,5.0,60.93452380952381,10
Low,18.129166666666666,278.20238095238096,4.85,70.0297619047619,11
Low,13.989880952380954,247.88095238095238,5.9,66.69642857142857,12
Low,18.324404761904763,269.7261904761905,6.8,65.75595238095238,13
Low,11.40952380952381,234.29166666666666,6.65,76.10119047619048,14
Low,18.575595238095236,249.5595238095238,8.1,63.25,15
Very Low,13.239285714285714,231.42857142857142,7.75,76.86904761904762,16
Very Low,11.639880952380953,221.36904761904762,7.85,74.96428571428571,17
Very Low,9.958333333333334,208.1904761904762,8.1,69.5952380952381,18
Very Low,12.049404761904762,221.3154761904762,9.2,80.82142857142857,19
Very Low,6.438690476190477,185.9047619047619,8.85,75.57142857142857,20
Very Low,6.748809523809523,184.5297619047619,9.55,69.05952380952381,21
Very Low,7.980357142857143,196.5654761904762,9.5,69.57738095238095,22
Very Low,6.602380952380953,174.48809523809524,9.4,76.54166666666667,23
Very Low,6.463095238095238,167.80357142857142,9.8,69.57142857142857,24
Very Low,6.222619047619048,166.55357142857142,10.75,67.38095238095238,25
Very Low,8.0125,197.6845238095238,9.95,59.98809523809524,26
Very Low,7.002380952380953,187.5654761904762,9.75,58.375,27
Very Low,7.476190476190476,187.73809523809524,10.0,60.285714285714285,28
Very Low,6.464880952380952,176.79166666666666,10.25,62.660714285714285,29
Very Low,5.088690476190476,152.5654761904762,9.4,50.273809523809526,30
Very Low,6.576785714285715,152.9345238095238,9.2,43.845238095238095,31
Very Low,8.463095238095239,184.92857142857142,9.8,52.904761904761905,32
Very Low,7.338690476190477,158.6547619047619,9.05,50.57142857142857,33
Very Low,10.930952380952382,194.13095238095238,9.3,60.720238095238095,34
Very Low,11.596428571428572,199.38095238095238,8.85,64.96428571428571,35
Very Low,10.741071428571429,202.67261904761904,8.1,65.25,36
Very Low,7.568452380952381,186.69642857142858,7.6,53.80357142857143,37
Very Low,17.501785714285717,255.76785714285714,8.05,57.19642857142857,38
Very Low,17.373214285714283,263.4642857142857,7.15,65.95238095238095,39
Very Low,10.043452380952381,209.45833333333334,5.95,57.148809523809526,40
Very Low,18.62202380952381,232.61904761904762,5.8,61.57142857142857,41
Very Low,20.344047619047622,279.9761904761905,5.2,57.464285714285715,42
Low,24.007142857142856,296.7916666666667,4.7,52.779761904761905,43
Low,28.776785714285715,285.13690476190476,4.7,44.00595238095238,44
Low,25.932738095238093,311.64285714285717,4.25,42.45238095238095,45
Low,24.87797619047619,347.9107142857143,3.85,40.607142857142854,46
Low,22.067857142857143,298.3333333333333,2.75,43.50595238095238,47
Low,36.51130952380952,417.44642857142856,2.75,26.839285714285715,48
Low,34.31666666666666,429.01190476190476,2.55,22.642857142857142,49
Moderate,33.43035714285715,386.2261904761905,2.35,22.910714285714285,50
Moderate,33.294642857142854,401.23809523809524,2.4,24.61904761904762,51
Moderate,10.077380952380953,192.45833333333334,1.75,59.94642857142857,52
Moderate,19.247619047619047,348.0833333333333,2.05,45.42261904761905,53
Moderate,18.85595238095238,275.17261904761904,2.5,50.32142857142857,1
Moderate,32.89523809523809,526.6071428571429,2.65,24.11904761904762,2
Moderate,34.81011904761905,544.3571428571429,2.8,23.547619047619047,3
High,27.770238095238092,428.3095238095238,3.1,36.43452380952381,4
Moderate,34.625595238095244,424.0595238095238,3.5,34.410714285714285,5
Moderate,18.348809523809525,246.67857142857142,3.4,51.50595238095238,6
Moderate,9.399404761904762,221.67261904761904,3.65,72.10714285714286,7
